cod_final,n1,n2,nome,status,n_produtos,n_celulas,anos_cobertos,anos_ausentes,regras,dominio
32002,32. Habitacao,Habitacao,Artigos de limpeza,ativo,733,262,5,,,outros
32003,32. Habitacao,Habitacao,Mobiliarios e artigos do lar,ativo,2871,1646,5,,,outros
32004,32. Habitacao,Habitacao,Eletrodomesticos,ativo,928,653,5,,,outros
32005,32. Habitacao,Habitacao,Consertos de artigos do lar,ativo,602,549,5,,,outros
33001,33. Vestuario,Vestuario,Roupa de homem,ativo,290,178,5,,,outros
33002,33. Vestuario,Vestuario,Roupa de mulher,ativo,430,269,5,,,outros
33003,33. Vestuario,Vestuario,Roupa de crianca,ativo,431,248,5,,,outros
33004,33. Vestuario,Vestuario,Calcados e apetrechos,ativo,353,258,5,,,outros
33005,33. Vestuario,Vestuario,Joias e bijuterias,ativo,98,58,5,,,outros
33006,33. Vestuario,Vestuario,Tecidos e armarinhos,ativo,211,86,5,,,outros
34001,34. Transporte,Transporte,Urbano,ativo,161,92,5,,,outros
34002,34. Transporte,Transporte,Gasolina para veiculo proprio,ativo,11,8,5,,,outros
34003,34. Transporte,Transporte,Alcool para veiculo proprio,ativo,6,5,5,,,outros
34004,34. Transporte,Transporte,Manutencao de veiculo proprio,ativo,422,206,5,,,outros
34005,34. Transporte,Transporte,Aquisicao de veiculos,ativo,123,105,5,,,outros
34006,34. Transporte,Transporte,Viagens,ativo,0,0,0,1987;1995;2002;2008;2017,,outros
34007,34. Transporte,Transporte,Outros transporte,ativo,98,53,5,,,outros
34008,34. Transporte,Transporte,Bicicleta,ativo,5,5,5,,,outros
34009,34. Transporte,Transporte,Estacionamento e vaga cativa de estacionamento,ativo,24,14,5,,,outros
34010,34. Transporte,Transporte,Oleo diesel,ativo,5,5,5,,,outros
34011,34. Transporte,Transporte,Pedagio,ativo,5,5,5,,,outros
35001,35. Higiene_e_cuidados_pessoais,Higiene_e_cuidados_pessoais,Perfume,ativo,22,5,5,,,outros
35002,35. Higiene_e_cuidados_pessoais,Higiene_e_cuidados_pessoais,Produtos para cabelo,ativo,119,7,5,,,outros
35003,35. Higiene_e_cuidados_pessoais,Higiene_e_cuidados_pessoais,Sabonete,ativo,13,8,5,,,outros
35004,35. Higiene_e_cuidados_pessoais,Higiene_e_cuidados_pessoais,Produtos de uso pessoal,ativo,508,184,5,,,outros
35005,35. Higiene_e_cuidados_pessoais,Higiene_e_cuidados_pessoais,Creme dental e fio dental,ativo,22,6,5,,,outros
35006,35. Higiene_e_cuidados_pessoais,Higiene_e_cuidados_pessoais,Fralda descartável infantil,ativo,6,5,5,,,outros
36001,36. Assistencia_a_saude,Assistencia_a_saude,Remedios,ativo,817,256,5,,,outros
