0,1,2,3,4,6,13,14,15,16,17,18,19,20,21
2002,Despesas diversas (DDI),Vestuario,Tecidos_e_armarinhos,"37001:37002, 37008, 37014:37015, 37017:37019, 37021, 37025:37030, 37034:37037, 37044, 37098",,Tecidos_e_armarinhos,"37001:37002, 37008, 37014:37015, 37017:37019, 37021, 37025:37030, 37034:37037, 37044, 37098",Codigo  %in% c(,"37001:37002, 37008, 37014:37015, 37017:37019, 37021, 37025:37030, 37034:37037, 37044, 37098","), """,33006,""",",Tecidos_e_armarinhos,33006
2002,Despesas diversas (DDI),Transporte,Urbano,"23001:23005, 23010:23011, 23014:23016, 23020:23027, 23029:23030, 23032:23034, 23098, 48045",,Urbano,"23001:23005, 23010:23011, 23014:23016, 23020:23027, 23029:23030, 23032:23034, 23098, 48045",Codigo  %in% c(,"23001:23005, 23010:23011, 23014:23016, 23020:23027, 23029:23030, 23032:23034, 23098, 48045","), """,34001,""",",Urbano,34001
2002,Despesas diversas (DDI),Transporte,Gasolina_para_veiculo_proprio,"23007, 23028",,Gasolina_para_veiculo_proprio,"23007, 23028",Codigo  %in% c(,"23007, 23028","), """,34002,""",",Gasolina_para_veiculo_proprio,34002
2002,Despesas diversas (DDI),Transporte,Alcool_para_veiculo_proprio,23006,,Alcool_para_veiculo_proprio,23006,Codigo  %in% c(,23006,"), """,34003,""",",Alcool_para_veiculo_proprio,34003
2002,Despesas diversas (DDI),Transporte,Manutencao_de_veiculo_proprio,"23019, 43001:43008, 43012, 43014:43018, 43020:43023, 43026, 43030:43032",,Manutencao_de_veiculo_proprio,"23019, 43001:43008, 43012, 43014:43018, 43020:43023, 43026, 43030:43032",Codigo  %in% c(,"23019, 43001:43008, 43012, 43014:43018, 43020:43023, 43026, 43030:43032","), """,34004,""",",Manutencao_de_veiculo_proprio,34004
2002,Despesas diversas (DDI),Transporte,Aquisicao_de_veiculos,"50012, 51001:51014, 51020:51025, 51098",,Aquisicao_de_veiculos,"50012, 51001:51014, 51020:51025, 51098",Codigo  %in% c(,"50012, 51001:51014, 51020:51025, 51098","), """,34005,""",",Aquisicao_de_veiculos,34005
2002,Despesas diversas (DDI),Transporte,Viagens,"23031, 41001:41005, 41007:41026, 41098",,Viagens,"23031, 41001:41005, 41007:41026, 41098",Codigo  %in% c(,"23031, 41001:41005, 41007:41026, 41098","), """,34006,""",",Viagens,34006
2002,Despesas diversas (DDI),Transporte,Outros_transporte,"23008:23009, 23012:23013, 23017:23018, 43009:43011, 43013, 43019, 43024:43025, 43027:43029, 43033:43037, 43098, 50003, 50005:50008, 50010, 50098",,Outros_transporte,"23008:23009, 23012:23013, 23017:23018, 43009:43011, 43013, 43019, 43024:43025, 43027:43029, 43033:43037, 43098, 50003, 50005:50008, 50010, 50098",Codigo  %in% c(,"23008:23009, 23012:23013, 23017:23018, 43009:43011, 43013, 43019, 43024:43025, 43027:43029, 43033:43037, 43098, 50003, 50005:50008, 50010, 50098","), """,34007,""",",Outros_transporte,34007
2002,Despesas diversas (DDI),Higiene_e_cuidados_pessoais,Perfume,30002,,Perfume,30002,Codigo  %in% c(,30002,"), """,35001,""",",Perfume,35001
2002,Despesas diversas (DDI),Higiene_e_cuidados_pessoais,Produtos_para_cabelo,"30029, 96004",,Produtos_para_cabelo,"30029, 96004",Codigo  %in% c(,"30029, 96004","), """,35002,""",",Produtos_para_cabelo,35002
