0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22
Cod,Quadro,Codigo,Variavel,Nivel_1,Descricao_1,Nivel_2,Descricao_2,Nivel_3,Descricao_3,Nivel_4,Descricao_4,Nivel_5,Descricao_5,Nivel_6,Descricao_6,DePara,Nivel 1,Nível 2,Descrição,Codigo final
64012,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011032,Cenoura,64012,CENOURA e sinonimos,02306,"5. Farinhas, féculas e massas",5.1 Farinhas,x.x.x Farinha de trigo,05103
64013,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64013,NABO e sinonimos,02309,"5. Farinhas, féculas e massas",5.1 Farinhas,x.x.x Farinha vitaminada,05104
64014,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64014,NABICA e sinonimos,02309,"5. Farinhas, féculas e massas",5.1 Farinhas,x.x.x Outras,05105
64015,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64015,GOBO e sinonimos,02309,"5. Farinhas, féculas e massas",5.2 Féculas,x.x.x Amido de milho,05201
64016,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64016,ACAFRAO,02309,"5. Farinhas, féculas e massas",5.2 Féculas,x.x.x Fubá de milho x.x.x Creme de milho,05202
64017,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64017,GENGIBRE,02309,"5. Farinhas, féculas e massas",5.2 Féculas,x.x.x Fécula de mandioca,05203
64018,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011031,Batata inglesa,64018,BATATA INGLESA ORGANICA e sinonimos,02303,"5. Farinhas, féculas e massas",5.2 Féculas,x.x.x Flocos de milho,05204
64019,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011032,Cenoura,64019,CENOURA ORGANICA e sinonimos,02306,"5. Farinhas, féculas e massas",5.2 Féculas,x.x.x Flocos de cerealx.x.x Flocos de aveiax.x.x Flocos de outros cereaisx.x.x Outras,05206
64020,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64020,BETERRABA ORGANICA,02305,"5. Farinhas, féculas e massas",5.3 Massas,x.x.x Macarrão com ovosx.x.x Macarrão não especificadox.x.x Macarrão sem ovos,05301
64022,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64022,BATATA DOCE ORGANICA,02302,"5. Farinhas, féculas e massas",5.3 Massas,x.x.x Massa de pastel,05302
