0,1,2,3,4,5,6,7,8,9
,,"Tabela 419 - Aquisição (monetária) alimentar domiciliar per capita anual por grupos, subgrupos e produtos e classes de recebimento mensal familiar",,,,,,,
,,Variável - Aquisição (monetária) alimentar domiciliar per capita anual (Quilogramas),,,,,,,
,,Total das áreas - POF - Total das áreas,,,,,,,
,,Classes de recebimento mensal familiar - Total,,,,,,,
,,"Grupos, subgrupos e produtos",Ano,,,,,,
,,,1987,1995,2002,2008,,,
6. Panificados,"6.3 Biscoitos, roscas, etc.",6.3.1 Biscoito doce,1.615,2.17,2.565,2.394,6.3.1 Biscoito doce,,6.3.1 Biscoito doce
6. Panificados,"6.3 Biscoitos, roscas, etc.",6.3.2 Biscoito não especificado,...,...,0.192,0.164,,,0
6. Panificados,"6.3 Biscoitos, roscas, etc.",6.3.3 Biscoito salgado,1.436,1.696,1.646,1.764,6.3.3 Biscoito salgado,,6.3.3 Biscoito salgado
6. Panificados,"6.3 Biscoitos, roscas, etc.",6.3.4 Rosca doce,...,...,0.047,0.059,,,0
6. Panificados,"6.3 Biscoitos, roscas, etc.",6.3.5 Rosca não especificada,...,...,0.027,0.061,,,0
6. Panificados,"6.3 Biscoitos, roscas, etc.",6.3.6 Rosca salgada,...,...,0.021,0.007,,,0
6. Panificados,"6.3 Biscoitos, roscas, etc.",6.3.7 Outros,0.108,0.066,0.013,0.025,6.3.7 Bsicoitos Outros,6.3.2 Biscoito não especificado6.3.4 Rosca doce6.3.5 Rosca não especificada6.3.6 Rosca salgada6.3.7 Outros,6.3.2 Biscoito não especificado6.3.4 Rosca doce6.3.5 Rosca não especificada6.3.6 Rosca salgada6.3.7 Outros
7. Carnes,NADA,7. Carnes,25.546,28.093,22.384,22.337,7. Carnes,,7. Carnes
7. Carnes,7.1 Carnes bovinas de primeira,7.1 Carnes bovinas de primeira,9.78,11.117,6.21,6.244,7.1 Carnes bovinas de primeira,,7.1 Carnes bovinas de primeira
7. Carnes,7.1 Carnes bovinas de primeira,7.1.1 Alcatra,2.471,2.678,1.432,0.986,7.1.1 Alcatra,,7.1.1 Alcatra
7. Carnes,7.1 Carnes bovinas de primeira,7.1.2 Carne moída,0.717,0.581,0.591,0.455,7.1.2 Carne moída,,7.1.2 Carne moída
7. Carnes,7.1 Carnes bovinas de primeira,7.1.3 Carne não especificada,0.974,1.628,1.229,1.94,7.1.3 Carne não especificada,,7.1.3 Carne não especificada
