0,1,2,3,4,6,7,8
6. Panificados,6.1 Pães,6.1 Pães,6.1 Pães,False,9. Pescados,9.1 Pescados de água salgada,9.1.15 Sardinha fresca
6. Panificados,6.1 Pães,6.1.1 Pão caseiro,,False,9. Pescados,9.1 Pescados de água salgada,9.1.21 Outros9.1.1 Anchova fresca9.1.3 Bagre fresco9.1.4 Cação fresco9.1.7 Meluza em filé congelado9.1.8 Merluza em filé fresco9.1.9 Parati fresco9.1.1 Pescada em filé congelado9.1.16 Tainha fresca9.1.17 Outros pescados em filé congelado9.1.18 Outros pescados em filé fresco9.1.19 Outros pescados frescos9.1.2 Outros pescados salgados
6. Panificados,6.1 Pães,6.1.2 Pão de forma de padaria,,False,9. Pescados,9.2 Pescados de água doce e congelados,9.2.1 Pescados de água doce9.2.1 Acará fresca9.2.2 Acari fresco9.2.3 Anujá fresco9.2.4 Curimatã fresco9.2.5 Dourada fresca9.2.6 Jaraqui fresco9.2.7 Lambari fresco9.2.8 Mapará fresco9.2.9 Piau fresco9.2.10 Surubim fresco9.2.11 Tambaqui fresco9.2.12 Tilápia fresca9.2.13 Traíra fresca9.2.14 Tucunaré fresco9.2.15 Outros pescados em filé congelado9.2.16 Outros pescados em filé fresco9.2.17 Outros pescados frescos9.2.18 Outros pescados salgados9.3 Pescados não especificados9.3.1 Peixe em filé congelado9.3.2 Peixe em filé fresco9.3.3 Peixe fresco9.3.4 Peixe salgado
6. Panificados,6.1 Pães,6.1.3 Pão de forma industrializado,6.1.3 Pão de forma industrializado,True,10. Aves e ovos,10.1 Aves,10.1.1 Asa de frango10.1.1 Asa de galinha
6. Panificados,6.1 Pães,6.1.4 Pão de milho,,False,10. Aves e ovos,10.1 Aves,10.1.2 Carne de frango não especificada10.1.2 Carne não especificada de galinha
6. Panificados,6.1 Pães,6.1.5 Pão de queijo,,False,10. Aves e ovos,10.1 Aves,10.1.3 Coxa de frango10.1.3 Coxa de galinha
6. Panificados,6.1 Pães,6.1.6 Pão doce,6.1.6 Pão doce,True,10. Aves e ovos,10.1 Aves,10.1.5 Frango abatido (inteiro)10.1.5 Frango abatido
6. Panificados,6.1 Pães,6.1.7 Pão francês,6.1.7 Pão francês,True,10. Aves e ovos,10.1 Aves,10.1.6 Frango vivo
6. Panificados,6.1 Pães,6.1.8 Pão integral,,False,10. Aves e ovos,10.1 Aves,10.1.8 Peito de frango10.1.8 Peito de galinha
6. Panificados,6.1 Pães,6.1.9 Torrada,,False,10. Aves e ovos,10.1 Aves,10.1.13 Outras10.1.4 Dorso de frango10.1.7 Miúdos de frango10.1.9 Outras carnes de frango10.1.10 Pato inteiro ou em cortes10.1.11 Peru abatido10.1.12 Peru em cortes
6. Panificados,6.1 Pães,6.1.10 Outros,6.1.1 Pão caseiro6.1.2 Pão de forma de padaria6.1.4 Pão de milho6.1.5 Pão de queijo6.1.8 Pão integral6.1.9 Torrada6.1.1 Outros,True,10. Aves e ovos,10.2 Ovos,10.2.1 Ovo de galinha
6. Panificados,6.2 Bolos,6.2 Bolos,6.2 Bolos,False,10. Aves e ovos,10.2 Ovos,10.2.2 Outros
