0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,CADASTRO DE PRODUTOS DA POF 2008-2009,,,,,,,,,,,,,
,,,( CÓDIGO = 3 DÍGITOS + 2 DÍGITOS REFERENTE AO SEQUENCIAL DO CÓDIGO ),,,,,,,,,,,,,
,,,(GRUPO = 2 DÍGITOS APENAS PARA CÓDIGOS DA CADERNETA DE DESPESA COLETIVA - POF3),,,,,,,,,,,,,
Ano,Quadro_H,Desc_Quadro,QUADRO,GRUPO,CÓDIGO,PRODUTO,7digitos,Codigo,ProcV17,zoom,ProcV02,Descrição anterior,MelhorChute,Descrição anterior,Harmo,
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01101,"FERRAGENS (FECHADURA, FERRO, ARAME, PREGO, ETC.)",0801101,08011,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01102,FECHADURA,0801102,08011,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01103,FERRO,0801103,08011,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01104,ARAME,0801104,08011,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01105,PREGO,0801105,08011,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01106,CADEADO,0801106,08011,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01107,RALO DE ESGOTAMENTO DE AGUA,0801107,08011,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01108,TELA DE ARAME,0801108,08011,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01109,TRILHO METALICO,0801109,08011,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01110,ROLAMENTO PARA PORTA,0801110,08011,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01201,FIO E MATERIAL ELETRICO EM GERAL,0801201,08012,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01202,MATERIAL PARA INSTALACAO ELETRICA,0801202,08012,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01203,FIO PARA INSTALACAO ELETRICA,0801203,08012,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01204,FIO DE ANTENA,0801204,08012,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01301,"MAO-DE-OBRA (PEDREIRO, MARCENEIRO, ELETRICISTA, PINTOR, ETC.)",0801301,08013,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01302,PEDREIRO,0801302,08013,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01303,MARCENEIRO,0801303,08013,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01304,ELETRICISTA,0801304,08013,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01305,PINTOR,0801305,08013,,32001,42002,Imovel_reforma,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01306,VIDRACEIRO,0801306,08013,,32001,39005,Outras_servicos_pessoais,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01307,MANUTENCAO DE CAIXA DE AGUA,0801307,08013,,32001,32005,Consertos_de_artigos_do_lar,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01308,CONSERTO DE TOLDO,0801308,08013,,32001,32005,Consertos_de_artigos_do_lar,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01309,CONSERTO DE PORTAO ELETRONICO,0801309,08013,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01310,MANUTENCAO DE FOSSA SEPTICA,0801310,08013,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,08,"Quadro 8 -   Conservação, manutenção e pequenos reparos com habitação, jazigo e jardinagem",08,,01401,"DEDETIZACAO, DESRATIZACAO, DESINSETIZACAO, ETC.",0801401,08014,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
