celula,grupo_base,nome_base,grupo_outra,nome_outra,explicada_por,itens
2017:41072,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,HOQUEI (INGRESSO)
2017:41999,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AGREGADO
2017:44001,38002,Celular e acessorios,40002,Comunicacao,form#5d131791,CARTAO DE TELEFONIA CELULAR | RECARGA DE CELULAR
2017:44002,38002,Celular e acessorios,40002,Comunicacao,form#5d131791,CONTA DE TELEFONIA CELULAR (VOZ) | CONTA DE TELEFONIA CELULAR (VOZ+INTERNET)
2017:44003,38002,Celular e acessorios,40002,Comunicacao,form#5d131791,CONTA DE TELEFONIA CELULAR (INTERNET)
2017:44004,38002,Celular e acessorios,40002,Comunicacao,form#5d131791,APARELHO DE TELEFONE CELULAR
2017:44005,38002,Celular e acessorios,40002,Comunicacao,form#5d131791,"APLICATIVOS PARA TELEFONE CELULAR (UTILITARIOS, JOGOS, NOTICIAS, ETC.)"
2017:44006,38002,Celular e acessorios,40002,Comunicacao,form#5d131791,"ACESSORIOS DE TELEFONE CELULAR (CAPA, BATERIA, CARREGADOR, ETC.) | ANTENA PARA TELEFONE CELULAR | BATERIA DE TELEFONE CELULAR | CABO PARA TELEFONE CELULAR | CAPA DE TELEFONE CELULAR | CARREGADOR DE ENERGIA PARA TELEFONE CELULAR | CHIP DE TELEFONE CELULAR | FONE DE OUVIDO PARA CELULAR | PELICULA PARA CELULAR | TELA PARA TELEFONE CELULAR"
2017:44007,38002,Celular e acessorios,40002,Comunicacao,form#5d131791,PACOTE DE VOZ (PARA LIGACAO)
2017:44008,38002,Celular e acessorios,40002,Comunicacao,form#5d131791,SEGURO PARA TELEFONE CELULAR
2017:50012,34009,Estacionamento e vaga cativa de estacionamento,34005,Aquisicao de veiculos,form#901a97a2,VAGA CATIVA DE ESTACIONAMENTO DE VEICULO | VAGA DE ESTACIONAMENTO DE VEICULO
2017:51006,34008,Bicicleta,34005,Aquisicao de veiculos,form#ec4086fe,BICICLETA
